Estado,Sigla,Ano,Modelo,Produtividade prevista,Produtividade obtida,cultura
Acre,AC,2024,Modelo A,292,643,algodão
Alagoas,AL,2024,Modelo A,703,768,algodão
Amapá,AP,2024,Modelo A,128,912,algodão
Amazonas,AM,2024,Modelo A,986,359,algodão
Bahia,BA,2024,Modelo A,109,282,algodão
Ceará,CE,2024,Modelo A,719,131,algodão
Distrito Federal,DF,2024,Modelo A,774,483,algodão
Espírito Santo,ES,2024,Modelo A,671,577,algodão
Goiás,GO,2024,Modelo A,247,858,algodão
Maranhão,MA,2024,Modelo A,690,113,algodão
Mato Grosso,MT,2024,Modelo A,708,517,algodão
Mato Grosso do Sul,MS,2024,Modelo A,893,410,algodão
Minas Gerais,MG,2024,Modelo A,511,487,algodão
Pará,PA,2024,Modelo A,830,455,algodão
Paraíba,PB,2024,Modelo A,297,48,algodão
Paraná,PR,2024,Modelo A,791,415,algodão
Pernambuco,PE,2024,Modelo A,587,526,algodão
Piauí,PI,2024,Modelo A,494,104,algodão
Rio de Janeiro,RJ,2024,Modelo A,481,604,algodão
Rio Grande do Norte,RN,2024,Modelo A,974,746,algodão
Rio Grande do Sul,RS,2024,Modelo A,266,999,algodão
Rondônia,RO,2024,Modelo A,745,323,algodão
Roraima,RR,2024,Modelo A,614,361,algodão
Santa Catarina,SC,2024,Modelo A,183,68,algodão
São Paulo,SP,2024,Modelo A,987,388,algodão
Sergipe,SE,2024,Modelo A,62,995,algodão
Tocantins,TO,2024,Modelo A,81,877,algodão
Acre,AC,2024,Modelo B,159,317,algodão
Alagoas,AL,2024,Modelo B,182,230,algodão
Amapá,AP,2024,Modelo B,701,323,algodão
Amazonas,AM,2024,Modelo B,10,493,algodão
Bahia,BA,2024,Modelo B,974,700,algodão
Ceará,CE,2024,Modelo B,787,344,algodão
Distrito Federal,DF,2024,Modelo B,945,673,algodão
Espírito Santo,ES,2024,Modelo B,262,635,algodão
Goiás,GO,2024,Modelo B,886,764,algodão
Maranhão,MA,2024,Modelo B,298,535,algodão
Mato Grosso,MT,2024,Modelo B,618,759,algodão
Mato Grosso do Sul,MS,2024,Modelo B,353,399,algodão
Minas Gerais,MG,2024,Modelo B,471,127,algodão
Pará,PA,2024,Modelo B,0,324,algodão
Paraíba,PB,2024,Modelo B,706,783,algodão
Paraná,PR,2024,Modelo B,158,262,algodão
Pernambuco,PE,2024,Modelo B,373,687,algodão
Piauí,PI,2024,Modelo B,313,566,algodão
Rio de Janeiro,RJ,2024,Modelo B,896,411,algodão
Rio Grande do Norte,RN,2024,Modelo B,2,252,algodão
Rio Grande do Sul,RS,2024,Modelo B,524,740,algodão
Rondônia,RO,2024,Modelo B,730,826,algodão
Roraima,RR,2024,Modelo B,166,661,algodão
Santa Catarina,SC,2024,Modelo B,255,650,algodão
São Paulo,SP,2024,Modelo B,94,462,algodão
Sergipe,SE,2024,Modelo B,482,59,algodão
Tocantins,TO,2024,Modelo B,307,874,algodão
Acre,AC,2023,observada,,117,algodão
Alagoas,AL,2023,observada,,627,algodão
Amapá,AP,2023,observada,,420,algodão
Amazonas,AM,2023,observada,,956,algodão
Bahia,BA,2023,observada,,195,algodão
Ceará,CE,2023,observada,,269,algodão
Distrito Federal,DF,2023,observada,,984,algodão
Espírito Santo,ES,2023,observada,,976,algodão
Goiás,GO,2023,observada,,247,algodão
Maranhão,MA,2023,observada,,241,algodão
Mato Grosso,MT,2023,observada,,846,algodão
Mato Grosso do Sul,MS,2023,observada,,33,algodão
Minas Gerais,MG,2023,observada,,277,algodão
Pará,PA,2023,observada,,266,algodão
Paraíba,PB,2023,observada,,262,algodão
Paraná,PR,2023,observada,,19,algodão
Pernambuco,PE,2023,observada,,520,algodão
Piauí,PI,2023,observada,,121,algodão
Rio de Janeiro,RJ,2023,observada,,490,algodão
Rio Grande do Norte,RN,2023,observada,,547,algodão
Rio Grande do Sul,RS,2023,observada,,342,algodão
Rondônia,RO,2023,observada,,70,algodão
Roraima,RR,2023,observada,,545,algodão
Santa Catarina,SC,2023,observada,,830,algodão
São Paulo,SP,2023,observada,,781,algodão
Sergipe,SE,2023,observada,,497,algodão
Tocantins,TO,2023,observada,,361,algodão
Acre,AC,2022,observada,,771,algodão
Alagoas,AL,2022,observada,,9,algodão
Amapá,AP,2022,observada,,993,algodão
Amazonas,AM,2022,observada,,716,algodão
Bahia,BA,2022,observada,,837,algodão
Ceará,CE,2022,observada,,113,algodão
Distrito Federal,DF,2022,observada,,812,algodão
Espírito Santo,ES,2022,observada,,874,algodão
Goiás,GO,2022,observada,,562,algodão
Maranhão,MA,2022,observada,,828,algodão
Mato Grosso,MT,2022,observada,,682,algodão
Mato Grosso do Sul,MS,2022,observada,,93,algodão
Minas Gerais,MG,2022,observada,,701,algodão
Pará,PA,2022,observada,,308,algodão
Paraíba,PB,2022,observada,,477,algodão
Paraná,PR,2022,observada,,26,algodão
Pernambuco,PE,2022,observada,,76,algodão
Piauí,PI,2022,observada,,581,algodão
Rio de Janeiro,RJ,2022,observada,,118,algodão
Rio Grande do Norte,RN,2022,observada,,556,algodão
Rio Grande do Sul,RS,2022,observada,,204,algodão
Rondônia,RO,2022,observada,,44,algodão
Roraima,RR,2022,observada,,399,algodão
Santa Catarina,SC,2022,observada,,822,algodão
São Paulo,SP,2022,observada,,585,algodão
Sergipe,SE,2022,observada,,293,algodão
Tocantins,TO,2022,observada,,126,algodão
Acre,AC,2022,observada,,10,algodão
Alagoas,AL,2022,observada,,404,algodão
Amapá,AP,2022,observada,,564,algodão
Amazonas,AM,2022,observada,,80,algodão
Bahia,BA,2022,observada,,980,algodão
Ceará,CE,2022,observada,,21,algodão
Distrito Federal,DF,2022,observada,,322,algodão
Espírito Santo,ES,2022,observada,,830,algodão
Goiás,GO,2022,observada,,950,algodão
Maranhão,MA,2022,observada,,279,algodão
Mato Grosso,MT,2022,observada,,846,algodão
Mato Grosso do Sul,MS,2022,observada,,348,algodão
Minas Gerais,MG,2022,observada,,310,algodão
Pará,PA,2022,observada,,105,algodão
Paraíba,PB,2022,observada,,186,algodão
Paraná,PR,2022,observada,,729,algodão
Pernambuco,PE,2022,observada,,27,algodão
Piauí,PI,2022,observada,,365,algodão
Rio de Janeiro,RJ,2022,observada,,557,algodão
Rio Grande do Norte,RN,2022,observada,,16,algodão
Rio Grande do Sul,RS,2022,observada,,303,algodão
Rondônia,RO,2022,observada,,167,algodão
Roraima,RR,2022,observada,,17,algodão
Santa Catarina,SC,2022,observada,,332,algodão
São Paulo,SP,2022,observada,,872,algodão
Sergipe,SE,2022,observada,,112,algodão
Tocantins,TO,2022,observada,,301,algodão
Acre,AC,2021,observada,,21,algodão
Alagoas,AL,2021,observada,,779,algodão
Amapá,AP,2021,observada,,43,algodão
Amazonas,AM,2021,observada,,794,algodão
Bahia,BA,2021,observada,,499,algodão
Ceará,CE,2021,observada,,589,algodão
Distrito Federal,DF,2021,observada,,959,algodão
Espírito Santo,ES,2021,observada,,926,algodão
Goiás,GO,2021,observada,,840,algodão
Maranhão,MA,2021,observada,,673,algodão
Mato Grosso,MT,2021,observada,,629,algodão
Mato Grosso do Sul,MS,2021,observada,,734,algodão
Minas Gerais,MG,2021,observada,,940,algodão
Pará,PA,2021,observada,,674,algodão
Paraíba,PB,2021,observada,,348,algodão
Paraná,PR,2021,observada,,919,algodão
Pernambuco,PE,2021,observada,,232,algodão
Piauí,PI,2021,observada,,298,algodão
Rio de Janeiro,RJ,2021,observada,,989,algodão
Rio Grande do Norte,RN,2021,observada,,509,algodão
Rio Grande do Sul,RS,2021,observada,,538,algodão
Rondônia,RO,2021,observada,,264,algodão
Roraima,RR,2021,observada,,192,algodão
Santa Catarina,SC,2021,observada,,156,algodão
São Paulo,SP,2021,observada,,626,algodão
Sergipe,SE,2021,observada,,662,algodão
Tocantins,TO,2021,observada,,103,algodão
Acre,AC,2024,Modelo A,524,154,milho
Alagoas,AL,2024,Modelo A,390,424,milho
Amapá,AP,2024,Modelo A,286,968,milho
Amazonas,AM,2024,Modelo A,170,507,milho
Bahia,BA,2024,Modelo A,912,520,milho
Ceará,CE,2024,Modelo A,696,674,milho
Distrito Federal,DF,2024,Modelo A,498,659,milho
Espírito Santo,ES,2024,Modelo A,450,642,milho
Goiás,GO,2024,Modelo A,823,842,milho
Maranhão,MA,2024,Modelo A,880,970,milho
Mato Grosso,MT,2024,Modelo A,346,708,milho
Mato Grosso do Sul,MS,2024,Modelo A,527,214,milho
Minas Gerais,MG,2024,Modelo A,703,166,milho
Pará,PA,2024,Modelo A,640,795,milho
Paraíba,PB,2024,Modelo A,814,242,milho
Paraná,PR,2024,Modelo A,136,354,milho
Pernambuco,PE,2024,Modelo A,135,888,milho
Piauí,PI,2024,Modelo A,158,140,milho
Rio de Janeiro,RJ,2024,Modelo A,709,293,milho
Rio Grande do Norte,RN,2024,Modelo A,449,347,milho
Rio Grande do Sul,RS,2024,Modelo A,819,443,milho
Rondônia,RO,2024,Modelo A,610,754,milho
Roraima,RR,2024,Modelo A,478,889,milho
Santa Catarina,SC,2024,Modelo A,19,964,milho
São Paulo,SP,2024,Modelo A,43,662,milho
Sergipe,SE,2024,Modelo A,400,876,milho
Tocantins,TO,2024,Modelo A,819,678,milho
Acre,AC,2024,Modelo B,662,152,milho
Alagoas,AL,2024,Modelo B,261,753,milho
Amapá,AP,2024,Modelo B,759,572,milho
Amazonas,AM,2024,Modelo B,714,946,milho
Bahia,BA,2024,Modelo B,684,654,milho
Ceará,CE,2024,Modelo B,311,271,milho
Distrito Federal,DF,2024,Modelo B,894,416,milho
Espírito Santo,ES,2024,Modelo B,961,101,milho
Goiás,GO,2024,Modelo B,37,813,milho
Maranhão,MA,2024,Modelo B,31,855,milho
Mato Grosso,MT,2024,Modelo B,851,320,milho
Mato Grosso do Sul,MS,2024,Modelo B,322,695,milho
Minas Gerais,MG,2024,Modelo B,977,533,milho
Pará,PA,2024,Modelo B,240,183,milho
Paraíba,PB,2024,Modelo B,599,769,milho
Paraná,PR,2024,Modelo B,215,595,milho
Pernambuco,PE,2024,Modelo B,774,797,milho
Piauí,PI,2024,Modelo B,549,397,milho
Rio de Janeiro,RJ,2024,Modelo B,618,603,milho
Rio Grande do Norte,RN,2024,Modelo B,225,209,milho
Rio Grande do Sul,RS,2024,Modelo B,864,676,milho
Rondônia,RO,2024,Modelo B,64,163,milho
Roraima,RR,2024,Modelo B,469,719,milho
Santa Catarina,SC,2024,Modelo B,814,527,milho
São Paulo,SP,2024,Modelo B,565,60,milho
Sergipe,SE,2024,Modelo B,816,681,milho
Tocantins,TO,2024,Modelo B,373,778,milho
